ID,SMILES,Precursor_Type,Source_Instrument,Collision_Energy
0,O=S(=O)(O)CC(O)CN1CCN(CCO)CC1,M+H,QTOF,10
1,O=S(=O)(O)CC(O)CN1CCN(CCO)CC1,M+H,QTOF,20
2,O=S(=O)(O)CC(O)CN1CCN(CCO)CC1,M+H,QTOF,40
3,O=S(=O)(O)CC(O)CN1CCN(CCO)CC1,M+H,QTOF,80
4,NC(CCCCn1cccc2nc(NCCCC(N)C(=O)O)nc1-2)C(=O)O,M+H,QTOF,10
5,NC(CCCCn1cccc2nc(NCCCC(N)C(=O)O)nc1-2)C(=O)O,M+H,QTOF,20
6,NC(CCCCn1cccc2nc(NCCCC(N)C(=O)O)nc1-2)C(=O)O,M-H,QTOF,40
7,CC(=O)NCCCCNCCCN,M+H,QTOF,0
8,CC(=O)NCCCCNCCCN,M+H,QTOF,1
9,CC(=O)NCCCCNCCCN,M+H,QTOF,3
10,CC(=O)NCCCCNCCCN,M+H,QTOF,5
11,CC(=O)NCCCCNCCCN,M+H,QTOF,7
12,CC(=O)NCCCCNCCCN,M+H,QTOF,11
13,CC(=O)NCCCCNCCCN,M+H,QTOF,15
14,CC(=O)NCCCCNCCCN,M+H,QTOF,18
15,CC(=O)NCCCCNCCCN,M+H,QTOF,24
16,CC(=O)NCCCCNCCCN,M+H,QTOF,30
17,CC(=O)NCCCCNCCCN,M+H,QTOF,35
18,CC(=O)NCCCCNCCCN,M+H,QTOF,41
19,CC(=O)NCCCCNCCCN,M+H,QTOF,48
20,CC(=O)NCCCCNCCCN,M+H,QTOF,56
